delta_EQCONSUB,delta_NETIMIN,delta_EXTRA,delta_TRADE,delta_TRADEL,delta_OALIFSEP,delta_IGLTRAD,delta_SUBND,delta_EQPP,delta_FREPP,delta_IFIDUC,delta_FREPO,delta_OBSDIR,delta_LNLSNTV,delta_NCGTYPAR,delta_EINTEXP,delta_EQCSTKRX,delta_OALIFHYB,delta_CHBAL,delta_IGLSEC,delta_INTAN,delta_LNEXAMT,delta_EQCS,delta_EPREMAGG,delta_LNLSDEPR,delta_OALIFINS,delta_NONIIAY,delta_INTINCY,delta_BKPREM,delta_NONIX,delta_NIMY,delta_CHBALI,delta_VOLIAB,delta_LNRESNCR,delta_ELNATR,delta_NCLNLS,delta_NONII,delta_ISERCHG,delta_ITAX,delta_RBCT2,delta_ELNATRY,delta_ASTEMPM,delta_ASSTLT,delta_NUMEMP,delta_NCLNLSR,delta_ORE,delta_ASSET5,FAIL?
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1736507936507936,0.0,0.0,0.0,1.016467403564178,0.0,1.337669094693028,0.0,0.0,1.3012583271650628,0.0,1.1981481481481482,1.4737704918032788,1.0,1.7926829268292683,1.1484407484407484,0.0,0.6842105263157896,0.9654377880184332,2.2577962577962576,0.8734513274336283,0.8641188959660298,0.0,2.5444842513808035,0.0,0.75,0.0,0.8338983050847457,0.9166666666666666,0.3584905660377358,1.2887864823348694,0.62,1.5141492027860215,3.2024021352313166,1.0666666666666669,0.0,0.0,1.6279019076737076,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214443952148871,0.0,0.935710498409332,0.0,0.9644970414201184,0.0,0.0,1.40912886167548,0.0,0.0,0.9620893007582142,1.0,2.130434782608696,0.9804816801734962,0.6448321263989467,1.2195121951219512,0.8956692913385826,0.7820512820512819,1.3465909090909092,0.9407582938388628,1.934110787172012,2.6977186311787067,14.02115059221658,0.6575342465753424,0.0768566493955095,1.6896551724137931,0.5,0.0,0.0,0.4852941176470588,1.3367346818492594,2.876059044458031,1.0526315789473684,0.05617977528089888,0.0,1.3765572375858008,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0790229885057472,0.0,3.635514018691589,0.0,0.0,0.5125858123569794,0.0,0.0,2.9222222222222216,0.0,4.254098360655738,0.9709953062943796,0.0,1.235632183908046,1.1886559802712702,0.0,3.6816143497757854,1.360655737704918,0.5170055101653049,0.7086472065285625,2.8959338387319087,9.634285714285713,0.5518469069870939,4.413043478260869,0.0,2.4923076923076923,0.8987730061349694,2.709090909090909,0.6460495019345824,0.0,1.1578947368421053,0.6768115942028985,1.8461538461538465,0.8900679437576672,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01998987854251,0.0,4.597283085013147,3.1155378486055776,0.9288288288288288,0.0,1.160377358490566,0.0,0.0,0.8635812260893907,2.732394366197183,1.3701657458563536,1.21086508753862,1.0,1.575221238938053,0.9988821264439199,1.0609340549208257,2.25,1.060267857142857,1.5168495297805642,1.3489884393063585,1.0925449871465296,0.8344058344058344,1.5207525583169137,0.3595728354009464,0.0,2.749425287356322,3.0,0.65,1.0,1.25,0.0,1.1418158375394074,1.8395186554176128,1.1964285714285714,2.1785714285714284,0.0,1.337943070506593,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9024767801857584,0.0,0.5,0.0,0.0,1.1734772552043176,0.0,0.0,0.0,1.5,0.5371900826446281,0.8820768553828101,0.0,0.8239700374531836,1.2958876629889668,0.9510567296996664,0.496513249651325,1.28125,0.0,0.0,3.5952303168899054,0.0,0.2520138089758343,0.3146853146853147,0.40384615384615385,0.0,0.7821782178217822,0.0,0.9425634680815635,0.9202279202279202,0.8666666666666667,0.33909774436090223,0.8375634517766497,0.7655520269008033,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9417741935483872,0.0,0.3809523809523809,0.0,0.0,1.6163944240143675,0.0,0.7048997772828508,0.9454103570760892,1.0,0.9071428571428573,0.9533752860411898,0.0,0.8095238095238096,0.8004640371229699,0.916178880824163,0.8764320785597381,0.8825136612021858,1.7127823281211219,0.4566221765913758,1.792367641560981,0.0,0.5584415584415584,0.8953488372093024,0.4166666666666667,0.0,1.0009337068160598,0.0,1.317774207503907,2.46338329764454,0.8723404255319149,0.5,0.0,1.1251391005636595,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02884615384615385,0.0,1.013724951962668,0.0,0.7057971014492753,0.0,0.0,1.06875,0.030303030303030307,0.0,0.5353535353535354,1.0,0.7016129032258065,0.9109927729174592,0.0,1.0708661417322836,1.0247933884297522,1.0248833592534992,0.8043032786885246,0.988,1.0,0.7121313672922251,0.0,7.024830699774268,1.2994505494505495,0.7042253521126759,0.7448979591836735,4.578947368421051,0.0,10.62814070351759,0.7393888494088754,0.9657814096016344,1.1333333333333333,1.5534591194968554,0.696078431372549,0.9906294538149918,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6401653831586918,1.2161100196463654,0.0,1.67615532050827,0.931236509404872,0.0,0.4839010732617826,0.0,0.9168105929763959,15.552604846901755,0.0,0.9591391991283028,5.322870745900193,1.0,0.9758179231863442,0.8137962128043282,1.0054110227191284,1.2622950819672132,0.8425,0.8817813446634407,1.0049495526365886,0.9797979797979798,385.14713541666674,1.2224385209855406,1.77578125,-15.382352941176471,0.6216735253772291,1.3714496495758022,0.8467432950191571,2.4568965517241383,1.103953322219576,-11.0,1.2175853217714194,0.6776621613358899,0.9222520107238604,0.59375,0.8543046357615894,1.0959221602278508,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970229234891336,0.0,0.7623685235683677,0.0,0.0,0.9372876119864072,0.0,0.0,1.0020876826722338,1.0,0.5728155339805825,0.9910547396528704,0.0,1.0,1.0241206030150751,0.9028776978417268,0.7176470588235294,0.9590316573556796,0.0,1.0714818035026703,0.2272357250843121,1.904942965779468,11.105566218809981,0.7098591549295775,0.5016393442622951,-1.208955223880597,1.1345108695652173,2.685714285714286,1.1156176591222646,0.9218860580325547,0.9285714285714286,10.369565217391305,0.8260869565217391,1.0611008966912534,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7390470099136552,0.0,0.9863013698630136,0.0,0.0,1.4642992066490366,0.0,0.0,0.0,1.0,1.0,0.7303199593702387,0.0,0.8974358974358974,0.7011494252873564,0.8292682926829268,0.8902255639097745,0.6878172588832487,1.873236677115988,1.0285459411239963,1.0863064937364435,0.0,0.8909090909090909,1.0410958904109588,0.6842105263157895,0.0,0.0,0.0,1.2648700381503049,1.2260260607506015,0.9090909090909092,1.0222222222222221,1.4189189189189189,1.1578091825902337,0.0
