delta_EQCONSUB,delta_NETIMIN,delta_EXTRA,delta_TRADE,delta_TRADEL,delta_OALIFSEP,delta_IGLTRAD,delta_SUBND,delta_EQPP,delta_FREPP,delta_IFIDUC,delta_FREPO,delta_OBSDIR,delta_LNLSNTV,delta_NCGTYPAR,delta_EINTEXP,delta_EQCSTKRX,delta_OALIFHYB,delta_CHBAL,delta_IGLSEC,FAIL?
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960681520314548,0.0,0.7811331209308768,0.0,0.6144578313253012,0.0,0.0,3.0934954935389287,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.027321053282235,0.0,0.8484210526315791,0.0,0.0,1.9296833064949008,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.726455026455027,0.0,0.7154471544715447,0.0,1.0952380952380951,0.0,0.0,0.9353182751540041,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012492192379762648,0.0,0.9503982621288921,35.49912739965096,0.7592768791627021,0.0,0.0,1.140717061551962,2.161290322580645,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2923186344238975,0.0,0.7152834839769926,0.0,0.5641025641025641,0.0,0.0,0.9951827956989248,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0481787501454671,0.0,1.3529411764705883,0.0,0.0,1.2581047381546135,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16561950238753456,2.1708787386969632,0.7392574050896954,0.0,0.7918088737201365,0.0,0.0,3.0013788714467537,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.15015015015015015,0.0,0.0,0.0,0.0,0.0,0.0,0.9022789643240664,0.0,0.731716274030958,0.0,0.0,0.2371892919953484,4.432692307692308,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8869516310461192,0.0,0.5555555555555556,0.0,0.0,1.066449891612473,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1251330393796564,0.0,0.3884057971014493,0.0,0.0,0.5766816143497758,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1754487550665895,0.0,0.5227272727272727,0.0,0.0,3.6251870857387214,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07435303205871,0.0,0.4789915966386555,0.0,0.0,1.0412160187079802,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7037986856868087,0.0,0.8928571428571429,0.0,0.0,3.277227722772277,0.0,0.0
